Časová pečiatka,Uveďte Váš vek:,Uveďte Vaše pohlavie:,1. Ako hodnotíte všeobecnú prehľadnosť slovensko.sk?,2. Ako hodnotíte dizajn a prehľadnosť slovensko.sk pri navštívení cez mobilný prehliadač?,3. Ako hodnotíte schránku dokumentov na slovensko.sk?,4. Aké sú Vaše dojmy z inštalácie potrebných programov pre používanie elektronického občianskeho preukazu?,5. Ak ste si vytvorili vlastný e-podpis bol pre Vás tento proces náročný?,6. Za akým účelom najčastejšie navštevujete slovensko.sk?,7. Ktorú z nasledujúcich elektronických služieb ste už využili?,8. Ako hodnotíte funkčnosť vybraných služieb?,9. Nakoľko sú Vaše skúsenosti s inými eGovernment portálmi ako slovensko.sk pozitívne? ,"10. Je pre Vás slovensko.sk pohodlnejšie, ako osobný styk na úradoch?"
27.4.2018 21:10:24,22,Žena,Nepoužívam,Nepoužívam,Nepoužívam,Neinštaloval/a som,Stredne náročný,Nenavštevujem,Žiadne,Nepoužívam,Neutrálne,
27.4.2018 21:12:36,21,Muž,Nepoužívam,Nepoužívam,Nepoužívam,Neinštaloval/a som,Nevytvoril,Nenavštevujem,Žiadne,Nepoužívam,Neutrálne,Nie
27.4.2018 21:14:54,24,Muž,Celkom prehľadné,Celkom prehľadné,Nepoužívam,Neinštaloval/a som,Nevytvoril,Nenavštevujem,Žiadne,Nepoužívam,Neutrálne,Nie
27.4.2018 21:15:16,22,Muž,Nepoužívam,Nepoužívam,Nepoužívam,Neinštaloval/a som,Nevytvoril,Nenavštevujem,Žiadne,Nepoužívam,Neutrálne,
27.4.2018 21:16:47,25,Žena,Nepoužívam,Nepoužívam,Nepoužívam,Neinštaloval/a som,Nevytvoril,Nenavštevujem,Žiadne,Nepoužívam,Neutrálne,Nie
27.4.2018 21:24:23,23,Muž,Málo prehľadné,Neprehľadné,Nepoužívam,"Jednoduchá inštalácia, avšak neprehľadné návody",Stredne náročný,Používanie služieb verejnej správy,"Návrh na zápis, zmenu a výmaz údajov v obchodnom registri, Ohlásenie živnosti",Často ne fungujú,Negatívne,Nie
27.4.2018 21:27:19,20,Muž,Nepoužívam,Nepoužívam,Nepoužívam,Neinštaloval/a som,Nevytvoril,Nenavštevujem,Žiadne,Nepoužívam,Neutrálne,Nie
27.4.2018 22:02:45,22,Muž,Nepoužívam,Nepoužívam,Nepoužívam,Neinštaloval/a som,Stredne náročný,Nenavštevujem,Žiadne,Nepoužívam,Neutrálne,Nie
27.4.2018 22:52:18,27,Muž,Nepoužívam,Nepoužívam,Nepoužívam,Neinštaloval/a som,Nevytvoril,Nenavštevujem,Žiadne,Nepoužívam,Neutrálne,Nie
27.4.2018 22:56:32,21,Žena,Nepoužívam,Nepoužívam,Nepoužívam,Neinštaloval/a som,Nevytvoril,Nenavštevujem,Žiadne,Nepoužívam,Neutrálne,Áno
